utt_id,split,hf_index,text,duration,wer_subset,mos_subset,tone_validation_subset,baseline_tts_audio_path,asr_model_id,asr_backend,asr_transcript,asr_error,reference_norm,asr_norm,wer,cer
dev_0000,test,0,nkron nkyekyɛmu dummienu bible no ma yɛhunu sɛ ɛtɔ da a ɛbɛhia sɛ yɛkɔhunu dɔkota wɔn,7.78000020980835,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0000.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nkrɔn nkyekyɛ mu dodoɔ mmienu bebree no. maayewa ho sɛ tɔɔda ebi rehia sɛ yɛ kohu dɔkota wɔ .,,nkron nkyekyɛmu dummienu bible no ma yɛhunu sɛ ɛtɔ da a ɛbɛhia sɛ yɛkɔhunu dɔkota wɔn,nkrɔn nkyekyɛ mu dodoɔ mmienu bebree no maayewa ho sɛ tɔɔda ebi rehia sɛ yɛ kohu dɔkota wɔ,0.9375,0.35294117647058826
dev_0001,test,1,afe a ɛdi hɔ no mesan kɔɔ baabi a yɛyɛ nhyiamu no wɔ minnesota kɔtwerɛ nsɔhwɛ,6.440000057220459,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0001.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,"afie a adi hɔ no, mbesia kor baabi a ɛyɛ hyia mu no wɔ mu. minisota kyerɛ soro hwɛ.",,afe a ɛdi hɔ no mesan kɔɔ baabi a yɛyɛ nhyiamu no wɔ minnesota kɔtwerɛ nsɔhwɛ,afie a adi hɔ no mbesia kor baabi a ɛyɛ hyia mu no wɔ mu minisota kyerɛ soro hwɛ,0.75,0.2987012987012987
dev_0002,test,2,nson asɛmmisa nea yɛsua wɔ asafo nhyiam ase ne nea yɛkenkan wɔ bible mu no ɛbɛyɛ,6.400000095367432,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0002.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,mbesua sɛ mbesia yi a yɛsua wɔ asafoɔ ahyiam ase ne nnoe. yɛkankwan wɔ beebi mu no bɛyɛ.,,nson asɛmmisa nea yɛsua wɔ asafo nhyiam ase ne nea yɛkenkan wɔ bible mu no ɛbɛyɛ,mbesua sɛ mbesia yi a yɛsua wɔ asafoɔ ahyiam ase ne nnoe yɛkankwan wɔ beebi mu no bɛyɛ,0.6875,0.3125
dev_0003,test,3,wo bɔne nkyekyɛmu dubaako asɛmmisa a ɛdi kan ɛnnɛ dɛn na ɛkanyan bible asuafo mu wɔ,8.920000076293945,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0003.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,ɔbonnetikyɛ mu duku baako sɛ mbesiaa di kan na dan no akɛnya bi si afuom wɔ hɔ.,,wo bɔne nkyekyɛmu dubaako asɛmmisa a ɛdi kan ɛnnɛ dɛn na ɛkanyan bible asuafo mu wɔ,ɔbonnetikyɛ mu duku baako sɛ mbesiaa di kan na dan no akɛnya bi si afuom wɔ hɔ,0.9375,0.4578313253012048
dev_0004,test,4,abɛbɔ me mpaeɛ na matie mo yeremia aduonu nkron nkyekyɛm du baako ne du mmienu mommɛn,7.940000057220459,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0004.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,ababɔ ne mpaeɛ na m'atia mu yere miri aduru no koro nkyerɛ dube akɔne de dum yi nwom hwen.,,abɛbɔ me mpaeɛ na matie mo yeremia aduonu nkron nkyekyɛm du baako ne du mmienu mommɛn,ababɔ ne mpaeɛ na m'atia mu yere miri aduru no koro nkyerɛ dube akɔne de dum yi nwom hwen,1.0625,0.4
dev_0005,test,5,ayɛ yɛn nwanwa sɛ hokwan a na moses wɔ sɛ ɔbɛkɔ bɔhyɛ asase no so bɔɔ,3.799999952316284,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0005.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,ɛyɛ yɛ mmoa sɛn hɔ kwan a n'ahosuo sisi wɔn soro bokɔbɔ hyɛ saa sini so bɔ wɔn.,,ayɛ yɛn nwanwa sɛ hokwan a na moses wɔ sɛ ɔbɛkɔ bɔhyɛ asase no so bɔɔ,ɛyɛ yɛ mmoa sɛn hɔ kwan a n'ahosuo sisi wɔn soro bokɔbɔ hyɛ saa sini so bɔ wɔn,1.0,0.5072463768115942
dev_0006,test,6,atena de akyerɛ sɛ yɛdɔ yehowa malachi ti mmienu nkyekyɛmu dummiɛnsa kɔsi dunsia kankan sɛ adeɛ,7.940000057220459,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0006.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,atɔn adakyeɛ sɛ yɛdɔyehoaa ma no hyeet mmienu nkyekyɛ mu dɔm yiɛnsa kosodeuseɛ akaankasan adeɛ.,,atena de akyerɛ sɛ yɛdɔ yehowa malachi ti mmienu nkyekyɛmu dummiɛnsa kɔsi dunsia kankan sɛ adeɛ,atɔn adakyeɛ sɛ yɛdɔyehoaa ma no hyeet mmienu nkyekyɛ mu dɔm yiɛnsa kosodeuseɛ akaankasan adeɛ,0.8125,0.3473684210526316
dev_0007,test,7,ɛbɛma yɛade yɛn ho koraa koraa firi bɔne ne owuo a ɛde yɛn ayɛ nkoa no,3.900000095367432,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0007.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,abɛma yɛde yi ho kura krakraka bi wɔ ne nwi na ɔgu adeɛ yɛ nkwan no.,,ɛbɛma yɛade yɛn ho koraa koraa firi bɔne ne owuo a ɛde yɛn ayɛ nkoa no,abɛma yɛde yi ho kura krakraka bi wɔ ne nwi na ɔgu adeɛ yɛ nkwan no,0.8125,0.42857142857142855
dev_0008,test,8,a ɛbɛma wani agye paa no bi wɔn a wɔyɛ asuafo yɛ adwuma no esi wɔn,6.960000038146973,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0008.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,ɛha yɛ adwadifoɔ bi nso wɔ hɔ. na nnipa bebree no ara gyina hɔ ase. na ebi nso hyɛ kyɛ. na ebi nso hyɛ kyɛ. na ebi nso hyɛ kyɛ.,,a ɛbɛma wani agye paa no bi wɔn a wɔyɛ asuafo yɛ adwuma no esi wɔn,ɛha yɛ adwadifoɔ bi nso wɔ hɔ na nnipa bebree no ara gyina hɔ ase na ebi nso hyɛ kyɛ na ebi nso hyɛ kyɛ na ebi nso hyɛ kyɛ,1.8125,1.2878787878787878
dev_0009,test,9,wɔahu ɔdɔ kɛseɛ a yehowa wɔ ne n'adom nti na ɔsoma ne ba no baa asaase,5.440000057220459,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0009.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,wɔn ho wɔdɔkɛseɛ ahodoɔ a wɔne ne nan dɔm ti na osima no baa no ba asase.,,wɔahu ɔdɔ kɛseɛ a yehowa wɔ ne n'adom nti na ɔsoma ne ba no baa asaase,wɔn ho wɔdɔkɛseɛ ahodoɔ a wɔne ne nan dɔm ti na osima no baa no ba asase,0.875,0.34285714285714286
