token,farmerline_count,phoneme_dataset_count,in_farmerline,in_phoneme_dataset,unicode_name,unicode_category
'meyɛ,1,0,True,False,,
.,0,1,False,True,,
a,702,467,True,True,,
"a,",0,76,False,True,,
a.,0,2,False,True,,
a?,0,1,False,True,,
aane,1,0,True,False,,
"aane,",0,1,False,True,,
aaron,0,9,False,True,,
aaron.,0,1,False,True,,
aba,24,16,True,True,,
"aba,",0,4,False,True,,
aba.,0,4,False,True,,
abaayewa,1,0,True,False,,
ababaa,1,1,True,True,,
ababaawa,3,0,True,False,,
abakan,1,1,True,True,,
abam,2,0,True,False,,
aban,3,1,True,True,,
abanmɔ,1,0,True,False,,
abannwa,0,3,False,True,,
abansoro,0,1,False,True,,
abantenten,1,0,True,False,,
"abantenten,",0,1,False,True,,
abarimaa,1,0,True,False,,
abasɛm,1,0,True,False,,
"abedeɛ,",0,1,False,True,,
aben,1,0,True,False,,
aberanteɛ,0,1,False,True,,
aberempɔn,0,1,False,True,,
abesi,1,0,True,False,,
abi,0,1,False,True,,
abi-eserfoɔ,0,1,False,True,,
abi-eserni,0,1,False,True,,
abidan,0,1,False,True,,
abiel,0,1,False,True,,
abiesa,1,0,True,False,,
abisa,2,0,True,False,,
abner,0,3,False,True,,
aboa,17,3,True,True,,
"abodwo,",0,1,False,True,,
abofra,1,0,True,False,,
abohene,1,0,True,False,,
abom,1,0,True,False,,
abona,1,0,True,False,,
abooboo,0,2,False,True,,
"abooboo,",0,1,False,True,,
abooboo.,0,1,False,True,,
aboro,1,2,True,True,,
abosom,2,2,True,True,,
abosome,1,1,True,True,,
abosonhuhuo,0,1,False,True,,
abosonsomfoɔ,0,1,False,True,,
abosonsɛm,0,1,False,True,,
abotan,0,1,False,True,,
abotare,2,0,True,False,,
aboterɛ,11,0,True,False,,
abotire,0,3,False,True,,
"abotire,",0,1,False,True,,
abotire.,0,2,False,True,,
abotire:,0,1,False,True,,
abotɔyɛ,1,0,True,False,,
aboɔ,0,10,False,True,,
"aboɔ,",0,1,False,True,,
aboɔ.,0,1,False,True,,
aboɔden,0,1,False,True,,
aboɔdenneɛ,0,1,False,True,,
aboɔpono,0,1,False,True,,
abrabɔ,2,1,True,True,,
abraham,8,0,True,False,,
abram,0,1,False,True,,
abrane,0,1,False,True,,
abranteɛ,2,0,True,False,,
abrɛ,3,1,True,True,,
absalom,0,1,False,True,,
abu,2,0,True,False,,
abua,0,1,False,True,,
abufuhyeɛ,0,2,False,True,,
abufuo,2,4,True,True,,
abupɛn,0,2,False,True,,
abura,0,3,False,True,,
abusua,11,4,True,True,,
abusua.,0,1,False,True,,
abusua;,0,1,False,True,,
abusuafo,1,0,True,False,,
abusuafoɔ,1,0,True,False,,
abusuakuo,0,5,False,True,,
abususɛm,0,2,False,True,,
abɔ,6,9,True,True,,
abɔdeɛ,1,4,True,True,,
abɔfo,3,0,True,False,,
