utt_id,text,audio_path_or_url,rater_id,naturalness_mos_1_to_5,intelligibility_mos_1_to_5,comments
dev_0000,nkron nkyekyɛmu dummienu bible no ma yɛhunu sɛ ɛtɔ da a ɛbɛhia sɛ yɛkɔhunu dɔkota wɔn,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0000.wav,,,,
dev_0001,afe a ɛdi hɔ no mesan kɔɔ baabi a yɛyɛ nhyiamu no wɔ minnesota kɔtwerɛ nsɔhwɛ,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0001.wav,,,,
dev_0002,nson asɛmmisa nea yɛsua wɔ asafo nhyiam ase ne nea yɛkenkan wɔ bible mu no ɛbɛyɛ,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0002.wav,,,,
dev_0003,wo bɔne nkyekyɛmu dubaako asɛmmisa a ɛdi kan ɛnnɛ dɛn na ɛkanyan bible asuafo mu wɔ,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0003.wav,,,,
dev_0004,abɛbɔ me mpaeɛ na matie mo yeremia aduonu nkron nkyekyɛm du baako ne du mmienu mommɛn,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0004.wav,,,,
dev_0005,ayɛ yɛn nwanwa sɛ hokwan a na moses wɔ sɛ ɔbɛkɔ bɔhyɛ asase no so bɔɔ,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0005.wav,,,,
dev_0006,atena de akyerɛ sɛ yɛdɔ yehowa malachi ti mmienu nkyekyɛmu dummiɛnsa kɔsi dunsia kankan sɛ adeɛ,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0006.wav,,,,
dev_0007,ɛbɛma yɛade yɛn ho koraa koraa firi bɔne ne owuo a ɛde yɛn ayɛ nkoa no,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0007.wav,,,,
dev_0008,a ɛbɛma wani agye paa no bi wɔn a wɔyɛ asuafo yɛ adwuma no esi wɔn,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0008.wav,,,,
dev_0009,wɔahu ɔdɔ kɛseɛ a yehowa wɔ ne n'adom nti na ɔsoma ne ba no baa asaase,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0009.wav,,,,
dev_0010,mo agyanom nyankopɔn asoma me mo nkyɛn na wɔbisa me sɛ ne din de dɛn a,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0010.wav,,,,
dev_0011,nnyɛ mframo a ɛnkyɛ koraa na ɛdum aware nso sɛ obuo nnim a ɛnkyɛ na ɔdɔ,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0011.wav,,,,
dev_0012,yen ani gu so yɛta hu yenuanom kristofo na ɔkyenmu no ebia yɛbɛhu wɔn mpen pii,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0012.wav,,,,
dev_0013,na ɛma asɛm too wɔn sɛ yɛhwɛ nea ɛtoo wɔn no a yɛtumi sua biribi firi,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0013.wav,,,,
dev_0014,me kã nneduafoɔ mmarima bɛboro ahanu bi ho na awɛmfoɔ a wɔwɔ hɔ no ɛmfaho yɛn,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0014.wav,,,,
dev_0015,nson nkyekyɛm aduonu nnan asɛm no esi,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0015.wav,,,,
dev_0016,yi ho wɔyɛ nyane ma nkurɔfoɔ a wɔnnim bible mu paa anaa wɔnnim koraa ebia wɔnnim,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0016.wav,,,,
dev_0017,na monhyɛ mma asanso wobɛtumi akɔboa ma mo asiesie hɔ sɛ wo tebea ma wo kwan,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0017.wav,,,,
dev_0018,ne onuawa apostolides suku ho no mu hwɛ kwan sɛ wobɛhyia ɔhaw wɔ asetenamu nea abraham,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0018.wav,,,,
dev_0019,ɔba a ɔyerae no sankɔɔ fie no nagya no de anigye gyee no bio enti sɛ,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0019.wav,,,,
