token,count
no,807
sɛ,712
a,702
na,627
ne,404
ho,291
mu,274
so,236
yɛn,212
yehowa,198
wɔn,196
wɔ,191
bi,130
asɛm,127
nea,125
nkyekyɛmu,113
ma,111
me,107
wo,104
ti,102
de,98
nso,94
saa,93
yɛ,82
yi,80
onyankopɔn,79
nkyekyɛm,71
hɔ,70
nti,69
nanso,68
yesu,68
berɛ,66
ama,61
anaa,61
ɛsɛ,60
baako,60
dɛn,59
mmienu,58
nyinaa,58
adwuma,54
bible,53
ase,52
aduonu,52
asɛmmisa,48
biara,47
ɛyɛ,47
sɛnea,46
mmiɛnsa,44
ayɛ,41
enti,40
ka,40
paa,40
da,40
nneɛma,39
kyerɛ,37
pii,36
du,36
kan,33
afei,32
mma,32
pɛ,31
nsia,30
nsɛm,30
kwan,30
akyi,30
ara,30
ɛtɔ,29
nnipa,29
obi,29
mo,29
deɛ,28
tumi,28
yie,28
di,28
asafo,27
ɛbɛyɛ,27
wɔde,27
bɔ,27
ɛnyɛ,27
nni,27
bɛn,26
ɛwɔ,26
firi,26
bisa,26
bɔne,25
den,25
nwɔtwe,25
ani,25
pa,25
ɔdɔ,25
sɛn,25
hwɛ,24
nwoma,24
aba,24
yɛyɛ,24
ba,24
adi,24
nokware,23
ɔka,23
mpo,23
ɛno,23
nson,23
adɛn,23
nyankopɔn,22
afoforo,22
asase,22
som,22
mmom,21
ɔde,21
afe,21
koma,21
nuanom,21
kɔ,20
ɔyɛ,20
gye,20
si,20
ɛdi,20
yɛde,20
bɛyɛ,20
biribi,20
bɛtumi,19
fa,19
yɛbɛyɛ,19
nkurɔfoɔ,18
kenkan,18
dunsia,18
adeɛ,17
adwene,17
aboa,17
ade,17
daa,16
wei,16
din,16
nnum,16
yɛbɛtumi,16
hia,16
wiase,16
satan,15
nan,15
ɔkwan,15
dɔ,15
nnan,15
bere,15
kae,15
ebia,15
kɔsi,15
yɛɛ,15
asu,15
yɛnhwɛ,14
honhom,14
nka,14
wɔwɔ,14
yehu,14
nkron,14
ɛnsɛ,14
wɔyɛ,14
ɛbɛtumi,14
yiye,14
hu,14
yɛhu,14
wobɛtumi,14
ɛbɛma,14
petro,14
dunkron,14
adesua,14
ɛho,14
ɛkyerɛ,14
ɛma,14
aduasa,14
foforɔ,13
gyidie,13
foforo,13
ɔpɛ,13
onua,13
kosi,13
ansa,13
anuanom,13
nkyekyem,13
bra,13
maa,13
hyɛ,13
anim,13
ni,12
nkyɛn,12
efisɛ,12
ebi,12
ano,12
edi,12
kristo,12
kyerɛɛ,12
te,12
werɛ,12
nsa,12
biribiara,12
dubaako,12
mmoa,12
momma,12
mateo,12
kaa,12
yɛka,12
yɛne,12
nkurɔfo,11
akyerɛ,11
yɛwɔ,11
afiri,11
kristofoɔ,11
bebree,11
yohane,11
apem,11
paul,11
ɔno,11
aboterɛ,11
bio,11
kakra,11
nhoma,11
abusua,11
aka,11
akɔ,10
num,10
baabi,10
sɛneɛ,10
dunan,10
yɛma,10
nipa,10
nkwa,10
ɔhaw,10
emu,10
fie,10
obiara,10
nnwuma,10
mfeɛ,10
to,10
mmaa,10
koraa,10
yebetumi,10
anya,10
ɛhia,10
aware,10
dwom,10
nnɛ,9
hiob,9
yɛnya,9
nyansa,9
agya,9
die,9
s,9
anigye,9
kɛseɛ,9
ɛnnɛ,9
baa,9
suban,9
kronkron,9
ɛte,9
ɔwɔ,9
mmɔden,9
soro,9
ahyɛ,9
esiane,9
papa,9
mpae,9
gyina,9
paulo,9
bɛba,9
asomdwoe,9
ɔbaa,9
yam,9
tena,9
ɔkae,9
mmara,9
asɛnka,9
yɛpɛ,9
nhwɛsoɔ,8
boa,8
abraham,8
ɔne,8
ɔbɛyɛ,8
kɛse,8
ahorow,8
ntɛm,8
ahankron,8
daakye,8
agye,8
hyia,8
nkuran,8
afoforɔ,8
ahodoɔ,8
adansefoɔ,8
bo,8
wode,8
ɔte,8
ɛba,8
ɔbɛma,8
onipa,8
dunwɔtwe,8
anka,8
tu,8
mmarima,8
dii,8
biom,7
nnuanom,7
bɛboa,7
asɛmpa,7
dunson,7
wɔnyɛ,7
woyɛ,7
ban,7
bɔɔ,7
tom,7
boaa,7
dumienu,7
dunum,7
kɛnkan,7
asomafoɔ,7
romafoɔ,7
mfonini,7
mmiensa,7
nnamfo,7
awofo,7
ɛwom,7
ɛbɛboa,7
ɔbarima,7
aseɛ,7
mfoni,7
bɛka,7
ɛboa,7
yɛsua,7
asi,7
dummienu,7
deɛn,7
mfatoho,7
yɛntumi,7
mede,7
ɔda,7
bɛma,7
yen,7
asom,7
mmerɛ,7
ɔkaa,7
aduanan,6
aduane,6
hyɛɛ,6
sɔ,6
gyidi,6
wɔte,6
enni,6
ɛne,6
ɛmaa,6
nko,6
sika,6
aduonum,6
ɔsom,6
nkyerɛkyerɛ,6
wobɛyɛ,6
ha,6
se,6
nya,6
mpem,6
odi,6
bae,6
kasa,6
nyɛ,6
nyaa,6
otumi,6
asɛmbisa,6
gyinae,6
pɛpɛɛpɛ,6
wɔka,6
abɔ,6
hunu,6
nnyɛ,6
yɛbɛhwɛ,6
nkɔmhyɛ,6
ahenni,6
kristofo,6
ɛka,6
nhyiamu,6
akyɛ,6
nnye,6
efi,6
ɔha,6
korintofoɔ,6
yere,6
